ID,Type
Chap-Book,Internal
BradleyHisBook,Internal
Whims,Internal
PJdeR,Internal
Chips,Internal
Lark,Internal
QuartierLatin,Internal
Philosopher,Internal
Criterion,Internal
Philistine,Internal
Vogue,Internal
Wave,Internal
Bibelot,Internal
YellowBook,Internal
Footlights,Internal
Lotus,Internal
John-a-Dreams,Internal
Echo,Internal
FlyLeaf,Internal
Anti-Philistine,Internal
Bauble,Internal
ClackBook,Internal
Symposium,Internal
MlleNY,Internal
Phyllida,Internal
Savoy,Internal
Albion,Other
AltarBook,Other
AmericanArtJournal,Other
AmericanJouranlofInsanity,Other
AmericanMagazineExchange,Other
Anthropophagian,Other
AntiPhilistine,Other
Apologist,Other
Arena,Other
Argonaut,Other
ArtInterchange,Other
ArtStudent,Other
AssociatedPress,Other
Atheneum,Other
AtlantaConstitution,Other
Atlantic,Other
AtlanticMonthly,Other
Babyland,Other
BachelorofArts,Other
BaltimoreAmerican,Other
Baseburner,Other
Basis,Other
BelfastNewsLetter,Other
BirminghamPost,Other
BlackandWhite,Other
BlackBook,Other
BlackCat,Other
BlackwoodsMagazine,Other
Bloxams,Other
Bohemian,Other
BookBuyer,Other
Bookman,Other
Bookmans,Other
BookNews,Other
Bookseller,Other
BookWorld,Other
BookWorm,Other
BostonEveningJournal,Other
BostonGlobe,Other
BostonHerald,Other
BostonJournal,Other
BostonPost,Other
BostonTimes,Other
BostonTranscript,Other
BoysofNewYork,Other
BritishWeekly,Other
BroadwayJournal,Other
BrooklynCitizen,Other
BrooklynEagle,Other
Brownie,Other
BuffaloCommercial,Other
BuffaloCourier,Other
BuffaloExpress,Other
BuffaloNews,Other
BuffaloSundayTimes,Other
Bulletin,Other
ButchersAdvocate,Other
Butterfly,Other
Call,Other
Capital,Other
Century,Other
Chameleon,Other
ChapmansMagazine,Other
Chapters,Other
Chic,Other
ChicagoEcho,Other
ChicagoFigaro,Other
ChicagoInter-Ocean,Other
ChicagoJournal,Other
ChicagoPost,Other
ChicagoTimesHerald,Other
ChicagoTribune,Other
ChildWorld,Other
ChipsFromLiteraryWorkshops,Other
ChristianHerald,Other
Chronicle,Other
Clips,Other
Commonwealth,Other
CompleteEditorialWriter,Other
Congregationalist,Other
Conservator,Other
CorkExaminer,Other
Cosmopolitan,Other
Courier,Other
Critic,Other
CurrentLiterature,Other
DailyChronicle,Other
DailyMail,Other
DerNuvanStrak,Other
DesMoinesReview,Other
Dial,Other
DimeNovel,Other
DowninDixie,Other
DryGoodsEconomist,Other
EastAnglianTimes,Other
Editor,Other
Ego,Other
EnglishandAmericanGazette,Other
EnglishIllustratedMagazine,Other
Epilark,Other
EveningPost,Other
EveningTelegraph,Other
EveryMonth,Other
Examiner,Other
Expositor,Other
Fad,Other
Figaro,Other
Fliegende Blaetter,Other
Form,Other
Forum,Other
FreakMagazine,Other
FrenchandEnglishGazette,Other
GarlandMagazine,Other
GentlemansMagazine,Other
Germ,Other
GilBlas,Other
Globe,Other
GlobeReview,Other
Godeys,Other
GodeysMagazine,Other
Godneys,Other
Graphic,Other
HampshireAdvertiser,Other
Harpers ,Other
HarpersBazar,Other
HarpersWeekly,Other
HartfordPost,Other
HarvardLampoon,Other
HearthandHome,Other
Herald,Other
HobbyHorse,Other
HomeandCountry,Other
HomeBeautiful,Other
Hour,Other
HouseBeautiful,Other
Household,Other
Idiot,Other
Idler,Other
IllustratedNews,Other
IllustratedNewsLouisville,Other
InlandPrinter,Other
Inquirer,Other
Inter-Ocean,Other
InternationalMagazine,Other
InternationalStudio,Other
InterOcean,Other
JournalAmusant,Other
JournaldesArtistes,Other
JournaldesDebats,Other
JournalofKobeleth,Other
Judge,Other
KateFieldsWashington,Other
Kit-Kat,Other
KoboldLiterature,Other
L'ArtetlaMode,Other
L'EuropeArtiste,Other
La Rire,Other
LabourLeader,Other
LaCaricature,Other
LaCritique,Other
LadiesEverySaturday,Other
LadiesFarmJournal,Other
LadiesHomeJournal,Other
LaJeuneBelgique,Other
LaLanterne,Other
LandofSunshine,Other
LaPlume,Other
LaRevueBlanche,Other
LaRevueJaune,Other
LArkitectureModerne,Other
lAube,Other
LaVieParisienne,Other
LeChatNoir,Other
Ledger,Other
LeMercuredeFrance,Other
LEnfantTerrible,Other
LErmitage,Other
LesAnnalesPolitiquesetLiteraires,Other
Lettuce,Other
Life,Other
Lika-Joko,Other
Lippincotts,Other
LippincottsMagazine,Other
LiteraryDigest,Other
LiteraryJournal,Other
LiteraryReview,Other
LiteraryWorld,Other
LittleJourneys,Other
LivingAge,Other
LondonAtheneum,Other
LondonChronicle,Other
LondonEcho,Other
LondonFigaro,Other
LondonLiteraryWorld,Other
LondonQueen,Other
LondonStar,Other
LondonStationeryTrades'Journal,Other
LondonWorld,Other
Lotos,Other
Lounger,Other
Magpie,Other
ManchesterCourier,Other
McClures,Other
McCluresMagazine,Other
MedicalCourier,Other
MetaphysicalMagazine,Other
Milkmaid,Other
MinneapolisTribune,Other
MissBlueStocking,Other
MlleNewYork,Other
ModernArt,Other
ModernLarkitecture,Other
MonthlyIllustrator,Other
MonthlyVisitor,Other
Moods,Other
MorningGazette,Other
Munsey,Other
Munseys,Other
Musen-Almanach,Other
MusicalAge,Other
MusicalRecord,Other
Nation,Other
NationalObserver,Other
New England,Other
NewBohemian,Other
NewBudget,Other
NewCycle,Other
NewEvergreen,Other
NewOrleansDailyStates,Other
NewOrleansPicayune,Other
NewOrleansStates,Other
NewOrleansTimesDemocrat,Other
NewReview,Other
NewYorkAdvertiser,Other
NewYorkCritic,Other
NewYorkDemocraticMirror,Other
NewYorkHerald,Other
NewYorkJournal,Other
NewYorkLedger,Other
NewYorkPress,Other
NewYorkSun,Other
NewYorkTimes,Other
NewYorkTribune,Other
NewYorkWorld,Other
Nightingale,Other
NineteenHundred,Other
NorthAmericanReview,Other
Olio,Other
Outlook,Other
Outlook!,Other
OverlandMonthly,Other
Pageant,Other
PallMallBudget,Other
PallMallGazette,Other
PallMallMagazine,Other
Pan,Other
Paragraphs,Other
ParisFigaro,Other
Parisian,Other
Parthenon,Other
PassingShow,Other
Pennfield,Other
PennyMagazine,Other
Petersons,Other
PetitJournal,Other
PhiladelphiaCall,Other
PhiladelphiaInquirer,Other
PhiladelphiaLedger,Other
PicadillyBudget,Other
Pick-Me-Up,Other
PittsburghPress,Other
PlainDealer,Other
PocketMagazine,Other
Poet-Lore,Other
PoetLore,Other
PoliceGazette,Other
PolynesianMonitor,Other
PopularScienceMonthly,Other
Portfolio,Other
PortJervisGazette,Other
PosterLore,Other
PrarieDog,Other
Prattle,Other
PrintersInk,Other
Publisher'sCircular,Other
Puck,Other
Pucks,Other
Punch,Other
Puritan,Other
PurpleCow,Other
Queen,Other
Quest,Other
Recorder,Other
RedLetter,Other
Reedy'sMirror,Other
ReedysMirror,Other
ReviewofReviews,Other
RevuedeParis,Other
RevuedesDeuxMondes,Other
RevuedesModes,Other
RochesterHerald,Other
SanFranciscoClimax,Other
SaturdayReview,Other
Scribners,Other
ScribnersMagazine,Other
SheffieldandRotherhamIndependent,Other
SheffieldIndependent,Other
Skeptic,Other
Sketch,Other
StNicholas,Other
StPauls,Other
StrandMagazine,Other
Studio,Other
Tatler,Other
TheMonth,Other
Tips,Other
ToledoBlade,Other
TownTopics,Other
Transcript,Other
Traveler,Other
Truth,Other
VanityFair,Other
Wallonia,Other
WarCry,Other
WashingtonCapital,Other
WesternCollegeMagazine,Other
WesternDailyMercury,Other
WestminsterBudget,Other
WestminsterGazette,Other
What-not,Other
Wheels,Other
WhiteElephant,Other
WiemarJournal,Other
Writer,Other
YellowDog,Other
YoungLadiesMagazine,Other
YourthsCompanion,Other
YouthsCompanion,Other
