Source,Target,Weight
Anti-Philistine,Bibelot,2
Anti-Philistine,Chap-Book,5
Anti-Philistine,Lark,1
Anti-Philistine,LiteraryWorld,1
Anti-Philistine,OverlandMonthly,1
Anti-Philistine,PallMallMagazine,1
Anti-Philistine,QuartierLatin,1
Anti-Philistine,VanityFair,1
Bauble,Bibelot,2
Bauble,BlackCat,1
Bauble,Bookman,1
Bauble,Brownie,1
Bauble,Chap-Book,3
Bauble,Chips,1
Bauble,Echo,1
Bauble,Footlights,1
Bauble,John-a-Dreams,1
Bauble,Kit-Kat,1
Bauble,LadiesEverySaturday,1
Bauble,LadiesHomeJournal,3
Bauble,Lark,3
Bauble,LeChatNoir,1
Bauble,Lotus,1
Bauble,Magpie,1
Bauble,MonthlyVisitor,1
Bauble,Moods,1
Bauble,NewBohemian,4
Bauble,NewYorkJournal,1
Bauble,Philistine,4
Bauble,PJdeR,1
Bauble,Puck,1
Bauble,ScribnersMagazine,1
Bauble,StNicholas,1
Bauble,YoungLadiesMagazine,1
Bibelot,ArtStudent,1
Bibelot,BachelorofArts,1
Bibelot,Bookman,9
Bibelot,BostonHerald,3
Bibelot,BostonJournal,1
Bibelot,BostonTranscript,1
Bibelot,Chap-Book,2
Bibelot,Chips,1
Bibelot,Conservator,2
Bibelot,Critic,1
Bibelot,Echo,2
Bibelot,FlyLeaf,4
Bibelot,InternationalStudio,1
Bibelot,JournalofKobeleth,1
Bibelot,LittleJourneys,1
Bibelot,LivingAge,1
Bibelot,Lotus,3
Bibelot,ModernArt,2
Bibelot,Moods,2
Bibelot,NewYorkTribune,2
Bibelot,Outlook,5
Bibelot,Philistine,4
Bibelot,Poet-Lore,2
Bibelot,RochesterHerald,2
Bibelot,TheMonth,2
Bibelot,YellowBook,1
BradleyHisBook,AltarBook,3
BradleyHisBook,BostonGlobe,1
BradleyHisBook,Century,3
BradleyHisBook,Chap-Book,2
BradleyHisBook,ChildWorld,2
BradleyHisBook,Clips,2
BradleyHisBook,Cosmopolitan,1
BradleyHisBook,Dial,1
BradleyHisBook,DryGoodsEconomist,1
BradleyHisBook,Figaro,1
BradleyHisBook,GarlandMagazine,1
BradleyHisBook,Harpers,6
BradleyHisBook,HarpersWeekly,1
BradleyHisBook,InternationalStudio,1
BradleyHisBook,MinneapolisTribune,1
BradleyHisBook,ModernArt,2
BradleyHisBook,NewYorkLedger,1
BradleyHisBook,NewYorkSun,1
BradleyHisBook,NewYorkWorld,1
BradleyHisBook,Philistine,1
BradleyHisBook,ScribnersMagazine,1
BradleyHisBook,StNicholas,1
BradleyHisBook,Tatler,1
BradleyHisBook,YellowBook,1
Chap-Book,Albion,1
Chap-Book,Anthropophagian,1
Chap-Book,Atheneum,2
Chap-Book,AtlanticMonthly,5
Chap-Book,Bibelot,4
Chap-Book,BlackCat,1
Chap-Book,Bookman,9
Chap-Book,Bookseller,1
Chap-Book,BostonGlobe,1
Chap-Book,BradleyHisBook,1
Chap-Book,BritishWeekly,2
Chap-Book,BroadwayJournal,1
Chap-Book,Century,3
Chap-Book,Chameleon,1
Chap-Book,Chips,2
Chap-Book,Cosmopolitan,7
Chap-Book,Critic,5
Chap-Book,DailyChronicle,1
Chap-Book,DerNuvanStrak,1
Chap-Book,Dial,5
Chap-Book,DowninDixie,1
Chap-Book,Echo,2
Chap-Book,Editor,2
Chap-Book,EveningPost,2
Chap-Book,Expositor,1
Chap-Book,Forum,1
Chap-Book,Globe,1
Chap-Book,Harpers,5
Chap-Book,HarpersWeekly,1
Chap-Book,HobbyHorse,1
Chap-Book,HomeBeautiful,1
Chap-Book,HouseBeautiful,1
Chap-Book,Household,1
Chap-Book,InlandPrinter,1
Chap-Book,LadiesHomeJournal,8
Chap-Book,LaJeuneBelgique,1
Chap-Book,LaLanterne,1
Chap-Book,LaPlume,3
Chap-Book,LaRevueBlanche,2
Chap-Book,LaRevueJaune,1
Chap-Book,Lark,7
Chap-Book,lAube,1
Chap-Book,LeMercuredeFrance,1
Chap-Book,LEnfantTerrible,1
Chap-Book,LErmitage,1
Chap-Book,Life,1
Chap-Book,LiteraryJournal,1
Chap-Book,LiteraryReview,1
Chap-Book,LiteraryWorld,2
Chap-Book,LittleJourneys,1
Chap-Book,LondonChronicle,1
Chap-Book,Lotus,1
Chap-Book,McClures,1
Chap-Book,MlleNY,2
Chap-Book,Moods,1
Chap-Book,Munseys,4
Chap-Book,Musen-Almanach,1
Chap-Book,Nation,1
Chap-Book,NationalObserver,1
Chap-Book,NewEvergreen,1
Chap-Book,NewReview,1
Chap-Book,NewYorkHerald,2
Chap-Book,NewYorkJournal,2
Chap-Book,NewYorkSun,2
Chap-Book,NewYorkTimes,1
Chap-Book,NorthAmericanReview,3
Chap-Book,Olio,1
Chap-Book,PallMallBudget,1
Chap-Book,PallMallGazette,1
Chap-Book,PallMallMagazine,2
Chap-Book,Pennfield,1
Chap-Book,PennyMagazine,1
Chap-Book,Philistine,4
Chap-Book,Portfolio,2
Chap-Book,Punch,1
Chap-Book,Puritan,1
Chap-Book,Quest,1
Chap-Book,ReviewofReviews,1
Chap-Book,RevuedeParis,1
Chap-Book,RevuedesDeuxMondes,2
Chap-Book,SanFranciscoClimax,1
Chap-Book,SaturdayReview,9
Chap-Book,Savoy,2
Chap-Book,ScribnersMagazine,3
Chap-Book,Skeptic,1
Chap-Book,StrandMagazine,1
Chap-Book,Tatler,1
Chap-Book,Tips,1
Chap-Book,Vogue,2
Chap-Book,Wallonia,1
Chap-Book,YellowBook,8
Chips,AmericanMagazineExchange,2
Chips,ArtInterchange,1
Chips,ArtStudent,6
Chips,BachelorofArts,1
Chips,Bibelot,1
Chips,Bookman,1
Chips,Chap-Book,3
Chips,Figaro,1
Chips,Footlights,1
Chips,Harpers,1
Chips,LadiesFarmJournal,1
Chips,Lark,2
Chips,LiteraryWorld,1
Chips,MetaphysicalMagazine,2
Chips,NewYorkWorld,1
Chips,Philistine,2
Chips,Recorder,1
ClackBook,Bookman,1
ClackBook,BradleyHisBook,1
ClackBook,Century,1
ClackBook,Chap-Book,3
ClackBook,Echo,6
ClackBook,Harpers,1
ClackBook,Lark,2
ClackBook,Lotus,1
ClackBook,McClures,1
ClackBook,NewYorkJournal,1
ClackBook,Philistine,2
ClackBook,Punch,2
ClackBook,ScribnersMagazine,1
Criterion,Apologist,1
Criterion,Bookman,2
Criterion,BostonJournal,1
Criterion,BradleyHisBook,1
Criterion,Century,2
Criterion,Chap-Book,2
Criterion,Echo,1
Criterion,Harpers,1
Criterion,LaRevueBlanche,1
Criterion,LEnfantTerrible,1
Criterion,LippincottsMagazine,1
Criterion,McClures,1
Criterion,Munseys,2
Criterion,MusicalRecord,1
Criterion,NewReview,1
Criterion,Pan,1
Criterion,ScribnersMagazine,2
Criterion,Sketch,1
Criterion,YellowBook,1
Echo,BachelorofArts,1
Echo,Bibelot,1
Echo,Bookman,1
Echo,BradleyHisBook,1
Echo,Butterfly,1
Echo,Century,2
Echo,Chap-Book,7
Echo,Chic,1
Echo,ClackBook,2
Echo,Courier,1
Echo,Examiner,2
Echo,Figaro,1
Echo,Footlights,1
Echo,Graphic,1
Echo,Harpers,1
Echo,Hour,2
Echo,Idler,1
Echo,InlandPrinter,3
Echo,Inter-Ocean,1
Echo,InternationalMagazine,1
Echo,JournalAmusant,1
Echo,LaCaricature,2
Echo,LaCritique,1
Echo,LandofSunshine,3
Echo,LaRevueBlanche,1
Echo,Lark,4
Echo,LaVieParisienne,1
Echo,Lika-Joko,1
Echo,LippincottsMagazine,1
Echo,Lotus,2
Echo,ModernArt,2
Echo,Munseys,1
Echo,NationalObserver,1
Echo,NewBohemian,2
Echo,NewBudget,4
Echo,NineteenHundred,1
Echo,PallMallBudget,4
Echo,Philistine,5
Echo,Pick-Me-Up,8
Echo,PJdeR,2
Echo,Prattle,2
Echo,Puck,2
Echo,Punch,2
Echo,RedLetter,1
Echo,RevuedesDeuxMondes,1
Echo,Savoy,3
Echo,StPauls,2
Echo,VanityFair,2
Echo,YellowBook,3
FlyLeaf,Bauble,1
FlyLeaf,Bibelot,7
FlyLeaf,BlackBook,1
FlyLeaf,Capital,1
FlyLeaf,Century,1
FlyLeaf,Chap-Book,4
FlyLeaf,Chips,1
FlyLeaf,Conservator,1
FlyLeaf,Echo,4
FlyLeaf,Examiner,1
FlyLeaf,Footlights,4
FlyLeaf,HarpersWeekly,1
FlyLeaf,LadiesHomeJournal,1
FlyLeaf,LandofSunshine,1
FlyLeaf,Lark,2
FlyLeaf,LiteraryWorld,2
FlyLeaf,Lotus,1
FlyLeaf,MlleNY,1
FlyLeaf,NewBohemian,1
FlyLeaf,PallMallMagazine,1
FlyLeaf,Philistine,3
FlyLeaf,SaturdayReview,1
FlyLeaf,YellowBook,1
Footlights,AtlantaConstitution,1
Footlights,AtlanticMonthly,1
Footlights,BaltimoreAmerican,2
Footlights,Bibelot,1
Footlights,Bookman,1
Footlights,BostonTimes,1
Footlights,BrooklynCitizen,1
Footlights,BuffaloCourier,1
Footlights,BuffaloSundayTimes,1
Footlights,Bulletin,1
Footlights,Chap-Book,1
Footlights,ChicagoPost,1
Footlights,Clips,1
Footlights,Commonwealth,1
Footlights,Critic,1
Footlights,CurrentLiterature,1
Footlights,DesMoinesReview,2
Footlights,Echo,1
Footlights,EveningTelegraph,1
Footlights,HarpersWeekly,1
Footlights,HartfordPost,1
Footlights,Herald,1
Footlights,IllustratedNewsLouisville,1
Footlights,Inquirer,1
Footlights,InterOcean,2
Footlights,Ledger,1
Footlights,LondonFigaro,1
Footlights,LondonWorld,1
Footlights,Lotus,9
Footlights,ModernArt,8
Footlights,Munseys,1
Footlights,MusicalAge,1
Footlights,MusicalRecord,1
Footlights,NewYorkAdvertiser,1
Footlights,NewYorkDemocraticMirror,1
Footlights,NewYorkJournal,1
Footlights,NewYorkPress,1
Footlights,Outlook,1
Footlights,PallMallMagazine,1
Footlights,PhiladelphiaCall,1
Footlights,PhiladelphiaLedger,1
Footlights,Philistine,3
Footlights,PittsburghPress,1
Footlights,PlainDealer,1
Footlights,PoetLore,1
Footlights,PortJervisGazette,1
Footlights,RedLetter,1
Footlights,ToledoBlade,1
Footlights,TownTopics,1
Footlights,Transcript,1
Footlights,VanityFair,1
Footlights,WiemarJournal,1
Footlights,YellowDog,1
John-a-Dreams,AtlanticMonthly,1
John-a-Dreams,BlackCat,1
John-a-Dreams,Bookman,2
John-a-Dreams,BrooklynEagle,1
John-a-Dreams,Century,1
John-a-Dreams,Chapters,4
John-a-Dreams,CompleteEditorialWriter,1
John-a-Dreams,Critic,5
John-a-Dreams,Harpers,2
John-a-Dreams,LadiesHomeJournal,1
John-a-Dreams,Lark,1
John-a-Dreams,Lotus,1
John-a-Dreams,Lounger,1
John-a-Dreams,Magpie,2
John-a-Dreams,Milkmaid,1
John-a-Dreams,NewYorkCritic,1
John-a-Dreams,NewYorkJournal,1
John-a-Dreams,Pan,1
John-a-Dreams,Philistine,2
John-a-Dreams,ScribnersMagazine,4
John-a-Dreams,WhiteElephant,1
Lark,Anthropophagian,1
Lark,Bibelot,1
Lark,BlackCat,1
Lark,BookWorm,1
Lark,BostonEveningJournal,1
Lark,BostonJournal,1
Lark,Chap-Book,7
Lark,DimeNovel,1
Lark,Echo,1
Lark,Ego,1
Lark,Epilark,1
Lark,Idiot,1
Lark,KoboldLiterature,1
Lark,LaRevueJaune,1
Lark,LArkitectureModerne,1
Lark,LippincottsMagazine,1
Lark,Milkmaid,6
Lark,ModernLarkitecture,1
Lark,NewYorkTimes,2
Lark,NewYorkTribune,1
Lark,NewYorkWorld,1
Lark,Nightingale,3
Lark,OverlandMonthly,1
Lark,Philistine,2
Lark,Phyllida,1
Lark,PJdeR,3
Lark,ReviewofReviews,1
Lark,Tatler,1
Lark,YellowBook,1
Lotus,Atlantic,1
Lotus,Bauble,1
Lotus,Bibelot,8
Lotus,BlackBook,13
Lotus,BlackCat,1
Lotus,Bohemian,1
Lotus,BookBuyer,1
Lotus,Bookman,10
Lotus,BookNews,1
Lotus,Century,8
Lotus,Chap-Book,19
Lotus,ChicagoEcho,1
Lotus,ChicagoFigaro,1
Lotus,ChicagoJournal,1
Lotus,ChicagoTribune,1
Lotus,Chips,14
Lotus,ChipsFromLiteraryWorkshops,1
Lotus,Cosmopolitan,2
Lotus,Criterion,1
Lotus,CurrentLiterature,1
Lotus,DailyChronicle,1
Lotus,Echo,25
Lotus,FlyLeaf,8
Lotus,Footlights,7
Lotus,Godneys,1
Lotus,Harpers,10
Lotus,Harpers ,1
Lotus,HarpersWeekly,2
Lotus,LadiesHomeJournal,5
Lotus,Lark,16
Lotus,LippincottsMagazine,5
Lotus,MlleNY,15
Lotus,Munsey,1
Lotus,New England,1
Lotus,NewBohemian,1
Lotus,Outlook,1
Lotus,OverlandMonthly,1
